{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(289.98441230444314), 'rmse': np.float64(17.02892868927588), 'r2': 0.9283559137866166}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(336.3564677569869), 'rmse': np.float64(18.34002365748166), 'r2': 0.9168991478441566}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(363.3724242322653), 'rmse': np.float64(19.062329979104476), 'r2': 0.9102245355797572}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(376.0837529884525), 'rmse': np.float64(19.392878924709773), 'r2': 0.9070840511445497}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(292.6452919569621), 'rmse': np.float64(17.106878498339846), 'r2': 0.9276985119293459}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(382.86285053915213), 'rmse': np.float64(19.5668814719963), 'r2': 0.9054091947427464}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(331.3234619373713), 'rmse': np.float64(18.20229276595043), 'r2': 0.9181426115875609}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(410.2554532461318), 'rmse': np.float64(20.254763717361204), 'r2': 0.8990583933139438}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(356.81272780660623), 'rmse': np.float64(18.889487229848413), 'r2': 0.9118451863330818}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(388.5677194322019), 'rmse': np.float64(19.712121129706002), 'r2': 0.9043945678345642}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(465.9398545866191), 'rmse': np.float64(21.5856400087331), 'r2': 0.8853574835656759}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(347.8205476142753), 'rmse': np.float64(18.649947657145724), 'r2': 0.9140668110329269}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(328.3396229051732), 'rmse': np.float64(18.12014411932679), 'r2': 0.9188798043875837}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(311.878414794833), 'rmse': np.float64(17.66007969389813), 'r2': 0.9229467409641453}
