{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(365.2687053438722), 'rmse': np.float64(19.11200422100917), 'r2': 0.9097560368547218}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(316.7671119842484), 'rmse': np.float64(17.797952466063293), 'r2': 0.9217389303783063}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(367.41901464408824), 'rmse': np.float64(19.168177134096194), 'r2': 0.9092247774547222}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(447.32468447132675), 'rmse': np.float64(21.150051642285103), 'r2': 0.8894831346107247}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(445.76828662918956), 'rmse': np.float64(21.113225396163173), 'r2': 0.8898676611454384}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(325.82256476947776), 'rmse': np.float64(18.050555802231624), 'r2': 0.9195016734344225}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(344.92496849723034), 'rmse': np.float64(18.572155731019226), 'r2': 0.9147821981747759}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(339.29733146944056), 'rmse': np.float64(18.420025284169416), 'r2': 0.9161725726062585}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(381.14229597654), 'rmse': np.float64(19.522865977528504), 'r2': 0.9062215616453915}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(438.2884827997415), 'rmse': np.float64(20.935340522660276), 'r2': 0.8917156353388015}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(301.13457089704605), 'rmse': np.float64(17.35322940829879), 'r2': 0.925601134944702}
