{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(361.58118505273865), 'rmse': np.float64(19.015288192734253), 'r2': 0.9106670824504217}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(328.32869683496654), 'rmse': np.float64(18.119842627213032), 'r2': 0.9188825038027337}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(341.23658616236895), 'rmse': np.float64(18.47259013139113), 'r2': 0.9160401915568708}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(378.63116511647155), 'rmse': np.float64(19.458447140418773), 'r2': 0.9064546827841248}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(317.6919128491579), 'rmse': np.float64(17.823914072087476), 'r2': 0.9215104473630668}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(387.4763722892627), 'rmse': np.float64(19.684419531427963), 'r2': 0.904269369510812}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(390.4779205121191), 'rmse': np.float64(19.760514176309258), 'r2': 0.9035278014453321}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(433.361818764923), 'rmse': np.float64(20.817344181353274), 'r2': 0.8933731705053568}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(326.67250309111654), 'rmse': np.float64(18.074083741399356), 'r2': 0.9196236221572177}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(510.1362667614117), 'rmse': np.float64(22.586196376579473), 'r2': 0.8760821290845637}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(442.8025087868207), 'rmse': np.float64(21.042873111503113), 'r2': 0.8910503289404365}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(330.55678926889385), 'rmse': np.float64(18.181220785989424), 'r2': 0.9183320271575957}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(397.2988630457468), 'rmse': np.float64(19.93235718739123), 'r2': 0.9034916110977496}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(404.17485631681683), 'rmse': np.float64(20.104100485145235), 'r2': 0.9005544982865865}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(418.5813962895079), 'rmse': np.float64(20.459261870593178), 'r2': 0.8970098304945465}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(319.57505216822807), 'rmse': np.float64(17.876662221125844), 'r2': 0.9210451954736458}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(444.418738612298), 'rmse': np.float64(21.08124139163294), 'r2': 0.8920456602049107}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(409.18650617029914), 'rmse': np.float64(20.22835895890468), 'r2': 0.898905623607656}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(373.5412903907207), 'rmse': np.float64(19.32721631251435), 'r2': 0.9092625942905728}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(394.8553025502609), 'rmse': np.float64(19.870966321501854), 'r2': 0.9028475347918901}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(420.84658923864805), 'rmse': np.float64(20.51454579654758), 'r2': 0.8964524894185635}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(355.4684825980204), 'rmse': np.float64(18.853871819815165), 'r2': 0.9121772980450545}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(372.07936362306236), 'rmse': np.float64(19.28935881835014), 'r2': 0.9080733830008592}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(338.07776921724593), 'rmse': np.float64(18.386891233083585), 'r2': 0.9164738799160014}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(344.98869338572763), 'rmse': np.float64(18.573871254688065), 'r2': 0.9151170015575975}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(364.1555583949597), 'rmse': np.float64(19.08286033054164), 'r2': 0.9104010760681052}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(282.9249526744557), 'rmse': np.float64(16.82037314313971), 'r2': 0.931274327961736}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(422.8812988204831), 'rmse': np.float64(20.564077874305063), 'r2': 0.8972773480065139}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(361.2942307286471), 'rmse': np.float64(19.00774133685134), 'r2': 0.9122375436466205}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(346.90068507247815), 'rmse': np.float64(18.625270067101795), 'r2': 0.9146465641476766}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(431.9084740392166), 'rmse': np.float64(20.782407801773513), 'r2': 0.8932918921246362}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(456.689418143446), 'rmse': np.float64(21.370292888574223), 'r2': 0.8876335140479835}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(419.36633544935614), 'rmse': np.float64(20.478435864327043), 'r2': 0.8963905761238603}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(401.92030509719564), 'rmse': np.float64(20.047950147014923), 'r2': 0.9023690105361188}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(339.1527301985428), 'rmse': np.float64(18.416099755337523), 'r2': 0.9176159646359416}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(370.90328969212857), 'rmse': np.float64(19.258849646127064), 'r2': 0.9087408255260767}
