{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(455.52678203623867), 'rmse': np.float64(21.343073397152498), 'r2': 0.8874567091887465}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(340.1184884893693), 'rmse': np.float64(18.442301604988714), 'r2': 0.9159696960314005}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(438.19451944962793), 'rmse': np.float64(20.9330962700129), 'r2': 0.8917388500981843}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(492.5955785162029), 'rmse': np.float64(22.194494328914164), 'r2': 0.8782984236459749}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(424.5967449661716), 'rmse': np.float64(20.60574543582861), 'r2': 0.8950983414572582}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(313.35805415326416), 'rmse': np.float64(17.701922329319608), 'r2': 0.9225811785226411}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(350.1583671494965), 'rmse': np.float64(18.712518995300886), 'r2': 0.9138450253495335}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(377.2949778204522), 'rmse': np.float64(19.42408241900894), 'r2': 0.9067848036932885}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(388.47097898758534), 'rmse': np.float64(19.709667145530016), 'r2': 0.9044183704088721}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(419.3614229903119), 'rmse': np.float64(20.47831592173321), 'r2': 0.8963917898050939}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(409.22551071531353), 'rmse': np.float64(20.229323041449348), 'r2': 0.8988959870724936}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(382.33929539326516), 'rmse': np.float64(19.55349829041507), 'r2': 0.9055385452471797}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(405.6903582969099), 'rmse': np.float64(20.14175658419369), 'r2': 0.8997693883792358}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(362.84242973881294), 'rmse': np.float64(19.04842328747482), 'r2': 0.9107241657803519}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(366.07524415444266), 'rmse': np.float64(19.13309290612583), 'r2': 0.909556771881754}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(362.1322659686245), 'rmse': np.float64(19.029773145485063), 'r2': 0.9108988985508876}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(443.0694805943906), 'rmse': np.float64(21.049215676466204), 'r2': 0.8905344331649887}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(368.0017249248197), 'rmse': np.float64(19.183371052159202), 'r2': 0.9090808119730661}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(282.2329141840516), 'rmse': np.float64(16.799789111296953), 'r2': 0.9302710132749201}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(426.22491094734704), 'rmse': np.float64(20.645215207096946), 'r2': 0.8946960837531353}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(409.2332663325295), 'rmse': np.float64(20.229514732996673), 'r2': 0.8988940709553339}
