{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(387.28022646927144), 'rmse': np.float64(19.679436640038034), 'r2': 0.9043178296605359}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(395.21843063721894), 'rmse': np.float64(19.88010137391706), 'r2': 0.9023566022301773}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(487.94779586070166), 'rmse': np.float64(22.089540417598137), 'r2': 0.8794467134406767}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(461.3061754686119), 'rmse': np.float64(21.47803937673576), 'r2': 0.8860288415387595}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(446.8337654552963), 'rmse': np.float64(21.138442834213127), 'r2': 0.8896044219724445}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(376.9630002958808), 'rmse': np.float64(19.415535024713606), 'r2': 0.9068668226756271}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(450.12255114816213), 'rmse': np.float64(21.216091797222273), 'r2': 0.8887918884854044}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(391.88961391605034), 'rmse': np.float64(19.796202007356115), 'r2': 0.9035772298472492}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(369.5836028797494), 'rmse': np.float64(19.22455728696371), 'r2': 0.9086899902744742}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(789.7910537101862), 'rmse': np.float64(28.103221411613763), 'r2': 0.8048727588737896}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(504.32911151211545), 'rmse': np.float64(22.457273020385077), 'r2': 0.8759119704277467}
