{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(321.9067939004478), 'rmse': np.float64(17.94176117053306), 'r2': 0.9204691110408207, 'mae': np.float64(11.856849378354598), 'z_threshold': 1.5, 'mse_peak': np.float64(1448.7113717621642), 'rmse_peak': np.float64(38.06194125057423), 'r2_peak': 0.6198892368617913, 'mae_peak': np.float64(30.660462727590545)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(283.633827825847), 'rmse': np.float64(16.841431881697204), 'r2': 0.9299249009548382, 'mae': np.float64(10.90699392575047), 'z_threshold': 1.5, 'mse_peak': np.float64(1380.8168857985493), 'rmse_peak': np.float64(37.159344528645136), 'r2_peak': 0.6377032924256092, 'mae_peak': np.float64(29.457146548420198)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(373.2461755735001), 'rmse': np.float64(19.319580108622965), 'r2': 0.9077851082784089, 'mae': np.float64(13.435371482741756), 'z_threshold': 1.5, 'mse_peak': np.float64(1730.0517199836243), 'rmse_peak': np.float64(41.59389041654585), 'r2_peak': 0.5460715692790832, 'mae_peak': np.float64(32.8996783439309)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(322.67049664035), 'rmse': np.float64(17.963031387835127), 'r2': 0.9202804292268427, 'mae': np.float64(12.113237077605966), 'z_threshold': 1.5, 'mse_peak': np.float64(1541.8687315422592), 'rmse_peak': np.float64(39.26663636654226), 'r2_peak': 0.5954467455497496, 'mae_peak': np.float64(31.911536680704767)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(347.2140937855331), 'rmse': np.float64(18.633681702377906), 'r2': 0.9145694512688718, 'mae': np.float64(12.468896605071023), 'z_threshold': 1.5, 'mse_peak': np.float64(1769.567118422481), 'rmse_peak': np.float64(42.066223011134255), 'r2_peak': 0.5350955752013801, 'mae_peak': np.float64(34.80907557738212)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(348.09554147307574), 'rmse': np.float64(18.657318710711777), 'r2': 0.9139988705406381, 'mae': np.float64(13.894581282258397), 'z_threshold': 1.5, 'mse_peak': np.float64(1388.9061813048988), 'rmse_peak': np.float64(37.26803162638052), 'r2_peak': 0.6355808349450491, 'mae_peak': np.float64(30.158833327581785)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(369.5431922198959), 'rmse': np.float64(19.223506241575596), 'r2': 0.9090754717154461, 'mae': np.float64(12.640019054319893), 'z_threshold': 1.5, 'mse_peak': np.float64(1723.2815720986994), 'rmse_peak': np.float64(41.51242671898018), 'r2_peak': 0.5472558120559904, 'mae_peak': np.float64(33.464138509081415)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(281.9666827901359), 'rmse': np.float64(16.791863588956883), 'r2': 0.9303367888963986, 'mae': np.float64(11.111365098201912), 'z_threshold': 1.5, 'mse_peak': np.float64(1421.9772070360416), 'rmse_peak': np.float64(37.70911305024346), 'r2_peak': 0.6269037077591574, 'mae_peak': np.float64(28.62355513305719)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(389.59549889635673), 'rmse': np.float64(19.738173646423235), 'r2': 0.9053628454060627, 'mae': np.float64(12.118471703628801), 'z_threshold': 1.5, 'mse_peak': np.float64(2194.0988296311357), 'rmse_peak': np.float64(46.84120866962269), 'r2_peak': 0.41967421567629204, 'mae_peak': np.float64(38.640897474466975)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(364.25455993454244), 'rmse': np.float64(19.085454145357463), 'r2': 0.9103767171610125, 'mae': np.float64(12.291264767095191), 'z_threshold': 1.5, 'mse_peak': np.float64(1905.355442139467), 'rmse_peak': np.float64(43.650377342463685), 'r2_peak': 0.49942097892594095, 'mae_peak': np.float64(35.158402907984495)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(290.26627852363515), 'rmse': np.float64(17.037202778732052), 'r2': 0.9285812186306769, 'mae': np.float64(11.213959069509016), 'z_threshold': 1.5, 'mse_peak': np.float64(1386.7873851610996), 'rmse_peak': np.float64(37.239594320576316), 'r2_peak': 0.6356602782091385, 'mae_peak': np.float64(29.72355455718865)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(336.43444233629884), 'rmse': np.float64(18.342149337967424), 'r2': 0.9172217385893492, 'mae': np.float64(12.054458530629681), 'z_threshold': 1.5, 'mse_peak': np.float64(1820.9694662429918), 'rmse_peak': np.float64(42.6728188223252), 'r2_peak': 0.521591041410033, 'mae_peak': np.float64(33.95723259988287)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(408.9592291083149), 'rmse': np.float64(20.22274039561194), 'r2': 0.9006591762549161, 'mae': np.float64(13.701553478427444), 'z_threshold': 1.5, 'mse_peak': np.float64(1926.2366620097787), 'rmse_peak': np.float64(43.88891274581518), 'r2_peak': 0.4905221284577076, 'mae_peak': np.float64(35.13010784928478)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(349.3587482206329), 'rmse': np.float64(18.691140902059267), 'r2': 0.9136867803410025, 'mae': np.float64(11.831789369785545), 'z_threshold': 1.5, 'mse_peak': np.float64(1891.3182234648136), 'rmse_peak': np.float64(43.48928860610177), 'r2_peak': 0.503758700821163, 'mae_peak': np.float64(35.96725005788521)}
