{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(434.76606479204077), 'rmse': np.float64(20.851044693061322), 'r2': 0.8925858904584398}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(384.91462475228224), 'rmse': np.float64(19.61924118696445), 'r2': 0.9049022796039369}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(291.23479025083117), 'rmse': np.float64(17.065602545788742), 'r2': 0.9280469930943682}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(333.9029352055816), 'rmse': np.float64(18.27301111490883), 'r2': 0.9178446051352778}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(352.78780144173254), 'rmse': np.float64(18.782646284316076), 'r2': 0.9128395920985364}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(509.137118576335), 'rmse': np.float64(22.564066977748826), 'r2': 0.8742116401090514}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(363.4523369482651), 'rmse': np.float64(19.06442595380897), 'r2': 0.9102047921960729}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(501.1470196896371), 'rmse': np.float64(22.386313222360602), 'r2': 0.8761856887447796}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(345.3178599082331), 'rmse': np.float64(18.58273015216637), 'r2': 0.9150360115369016}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(346.0928718503868), 'rmse': np.float64(18.603571481045968), 'r2': 0.9144936538083477}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(414.22881950672775), 'rmse': np.float64(20.35261210524899), 'r2': 0.897659860331902}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(463.698845481802), 'rmse': np.float64(21.533667720149346), 'r2': 0.8854377040519446}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(411.38614174489925), 'rmse': np.float64(20.28265618071014), 'r2': 0.898780192225271}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(319.2630280664143), 'rmse': np.float64(17.8679329544974), 'r2': 0.9211222847263865}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(343.3973934379345), 'rmse': np.float64(18.53098468613944), 'r2': 0.9155085341312139}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(306.57110898939237), 'rmse': np.float64(17.509172138893156), 'r2': 0.9242579737702955}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(344.4050093763797), 'rmse': np.float64(18.558152100259868), 'r2': 0.9152606145217502}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(391.1458013335548), 'rmse': np.float64(19.777406334844688), 'r2': 0.9033627935720779}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(427.935841865219), 'rmse': np.float64(20.68661020721421), 'r2': 0.8947082090082307}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(369.83127956059246), 'rmse': np.float64(19.230997882600697), 'r2': 0.9086287988147872}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(371.9115370285955), 'rmse': np.float64(19.285008089928183), 'r2': 0.9081148465502524}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(379.41888668042964), 'rmse': np.float64(19.478677744663), 'r2': 0.9066455991614089}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(476.0676289912735), 'rmse': np.float64(21.818974059090714), 'r2': 0.8828655878151851}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(408.66104209247146), 'rmse': np.float64(20.21536648424835), 'r2': 0.8990354457363516}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(405.73212963010957), 'rmse': np.float64(20.14279349122434), 'r2': 0.9001713378214439}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(385.57728026695327), 'rmse': np.float64(19.63612182349033), 'r2': 0.904738562704654}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(375.0416781455554), 'rmse': np.float64(19.36599282622906), 'r2': 0.9077225926756061}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(324.562952870204), 'rmse': np.float64(18.01563079301427), 'r2': 0.9198128754841803}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(334.06610219148496), 'rmse': np.float64(18.27747526852341), 'r2': 0.9178044585934466}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(466.09273802812965), 'rmse': np.float64(21.58918104116341), 'r2': 0.8848462645238273}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(369.8198551310891), 'rmse': np.float64(19.230700848671354), 'r2': 0.9101665730197284}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(294.09902232429783), 'rmse': np.float64(17.149315505999002), 'r2': 0.9276381883450495}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(324.2428465524667), 'rmse': np.float64(18.006744474014916), 'r2': 0.9202214287988262}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(381.16379977737904), 'rmse': np.float64(19.52341670347122), 'r2': 0.9062162707267959}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(322.74329475049905), 'rmse': np.float64(17.96505760498694), 'r2': 0.9202624435908624}
