{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(431.646159392291), 'rmse': np.float64(20.77609586501494), 'r2': 0.893356700067346, 'mae': np.float64(13.127618965918016), 'z_threshold': 1.5, 'mse_peak': np.float64(2090.5580980620985), 'rmse_peak': np.float64(45.72262129473876), 'r2_peak': 0.4514824349914722, 'mae_peak': np.float64(36.02340633932248)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(386.6252519278927), 'rmse': np.float64(19.662788508446422), 'r2': 0.9044796488843252, 'mae': np.float64(12.847548882560053), 'z_threshold': 1.5, 'mse_peak': np.float64(1804.0271793229413), 'rmse_peak': np.float64(42.47384111806868), 'r2_peak': 0.5266619968472988, 'mae_peak': np.float64(35.5521225166935)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(332.4389932547461), 'rmse': np.float64(18.23290962119722), 'r2': 0.918204801816256, 'mae': np.float64(12.073921174672355), 'z_threshold': 1.5, 'mse_peak': np.float64(1204.5376304605445), 'rmse_peak': np.float64(34.7064494072866), 'r2_peak': 0.6835413201298792, 'mae_peak': np.float64(28.28986787878192)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(363.8333088713616), 'rmse': np.float64(19.074415033530165), 'r2': 0.9101106685668532, 'mae': np.float64(12.671063778349867), 'z_threshold': 1.5, 'mse_peak': np.float64(1738.0861500327403), 'rmse_peak': np.float64(41.69036039701192), 'r2_peak': 0.5439635073166542, 'mae_peak': np.float64(32.96298713904471)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(310.42287017132725), 'rmse': np.float64(17.61882147509666), 'r2': 0.9233063505157939, 'mae': np.float64(11.508920135154401), 'z_threshold': 1.5, 'mse_peak': np.float64(1650.2835049036867), 'rmse_peak': np.float64(40.6236815774209), 'r2_peak': 0.56700103645882, 'mae_peak': np.float64(32.63004695271579)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(334.9420078806822), 'rmse': np.float64(18.301420925181798), 'r2': 0.9172486069220361, 'mae': np.float64(12.4662591883442), 'z_threshold': 1.5, 'mse_peak': np.float64(1427.3397293767991), 'rmse_peak': np.float64(37.780149938516644), 'r2_peak': 0.6254966970191149, 'mae_peak': np.float64(29.728747849671294)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(334.96619898147503), 'rmse': np.float64(18.30208182096985), 'r2': 0.9172426302238508, 'mae': np.float64(12.422800130843811), 'z_threshold': 1.5, 'mse_peak': np.float64(1565.9448221124271), 'rmse_peak': np.float64(39.57202069786716), 'r2_peak': 0.5891296962475967, 'mae_peak': np.float64(30.309632114844025)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(341.0944949622948), 'rmse': np.float64(18.46874372994262), 'r2': 0.9157285620637662, 'mae': np.float64(11.75811423417803), 'z_threshold': 1.5, 'mse_peak': np.float64(1655.7625373570713), 'rmse_peak': np.float64(40.69106213110038), 'r2_peak': 0.5655634559664533, 'mae_peak': np.float64(32.50474944482528)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(270.8497999077441), 'rmse': np.float64(16.457514997949847), 'r2': 0.9330833465796923, 'mae': np.float64(11.289066620679156), 'z_threshold': 1.5, 'mse_peak': np.float64(1152.857405118639), 'rmse_peak': np.float64(33.95375391791958), 'r2_peak': 0.6975149663413267, 'mae_peak': np.float64(26.677817390209874)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(345.198309899989), 'rmse': np.float64(18.579513177152652), 'r2': 0.9150654263071771, 'mae': np.float64(12.14603269621013), 'z_threshold': 1.5, 'mse_peak': np.float64(1569.5712007156646), 'rmse_peak': np.float64(39.617814183971134), 'r2_peak': 0.587638926688634, 'mae_peak': np.float64(31.15065998747301)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(334.55691237688507), 'rmse': np.float64(18.290896981200376), 'r2': 0.9176836968380571, 'mae': np.float64(12.089474781366375), 'z_threshold': 1.5, 'mse_peak': np.float64(1652.3865885890134), 'rmse_peak': np.float64(40.64955828282779), 'r2_peak': 0.5658814924195927, 'mae_peak': np.float64(32.02074339692591)}
