{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(409.95560142235735), 'rmse': np.float64(20.247360356904732), 'r2': 0.898715609509633, 'mae': np.float64(13.495820245456937), 'z_threshold': 1.5, 'mse_peak': np.float64(2074.7836700277567), 'rmse_peak': np.float64(45.54979330389718), 'r2_peak': 0.45562130626360764, 'mae_peak': np.float64(37.13284942374848)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(368.24377973723733), 'rmse': np.float64(19.189678989947627), 'r2': 0.9090210094626091, 'mae': np.float64(13.584272648943882), 'z_threshold': 1.5, 'mse_peak': np.float64(1213.1228786334234), 'rmse_peak': np.float64(34.829913560521845), 'r2_peak': 0.6817025998650933, 'mae_peak': np.float64(27.902646481339012)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(382.79876685805147), 'rmse': np.float64(19.56524384867338), 'r2': 0.9058139940411454, 'mae': np.float64(13.415968228016073), 'z_threshold': 1.5, 'mse_peak': np.float64(1645.103788861109), 'rmse_peak': np.float64(40.55987905382743), 'r2_peak': 0.5677948450034966, 'mae_peak': np.float64(31.996487032766545)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(419.19587470407265), 'rmse': np.float64(20.474273484157447), 'r2': 0.8964326904714351, 'mae': np.float64(15.341964409600171), 'z_threshold': 1.5, 'mse_peak': np.float64(1331.7475225854464), 'rmse_peak': np.float64(36.49311609859381), 'r2_peak': 0.6505780399158225, 'mae_peak': np.float64(29.547013850728494)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(330.987710474895), 'rmse': np.float64(18.193067648829732), 'r2': 0.9182255629659911, 'mae': np.float64(12.430113102680314), 'z_threshold': 1.5, 'mse_peak': np.float64(1515.863606777904), 'rmse_peak': np.float64(38.93409311616111), 'r2_peak': 0.6022699320121158, 'mae_peak': np.float64(30.728569965055947)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(371.0211508237513), 'rmse': np.float64(19.261909324460838), 'r2': 0.9083348270158097, 'mae': np.float64(13.376339627050363), 'z_threshold': 1.5, 'mse_peak': np.float64(1682.799830867881), 'rmse_peak': np.float64(41.02194328487963), 'r2_peak': 0.5584694505835281, 'mae_peak': np.float64(32.81520531703574)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(397.7154575954668), 'rmse': np.float64(19.942804657205734), 'r2': 0.9017396821231544, 'mae': np.float64(12.541987139966276), 'z_threshold': 1.5, 'mse_peak': np.float64(2021.055082832892), 'rmse_peak': np.float64(44.95614621865282), 'r2_peak': 0.46971853410281217, 'mae_peak': np.float64(36.301001541688436)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(469.8762288682418), 'rmse': np.float64(21.676628632429026), 'r2': 0.8843889554416481, 'mae': np.float64(16.973205550658452), 'z_threshold': 1.5, 'mse_peak': np.float64(1462.8667801376562), 'rmse_peak': np.float64(38.24744148485826), 'r2_peak': 0.6156725382741118, 'mae_peak': np.float64(31.224206121734362)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(294.38429708800334), 'rmse': np.float64(17.157630870490348), 'r2': 0.9275679977046386, 'mae': np.float64(10.801825204018218), 'z_threshold': 1.5, 'mse_peak': np.float64(1503.2676558109688), 'rmse_peak': np.float64(38.77199576770544), 'r2_peak': 0.6050583345681761, 'mae_peak': np.float64(29.82092207118988)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(331.42655075527557), 'rmse': np.float64(18.205124299363504), 'r2': 0.9184539089805001, 'mae': np.float64(11.90174307384644), 'z_threshold': 1.5, 'mse_peak': np.float64(1394.1434843948766), 'rmse_peak': np.float64(37.338230868573255), 'r2_peak': 0.6337276682236583, 'mae_peak': np.float64(30.056353613320383)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(420.9948641684556), 'rmse': np.float64(20.518159375744588), 'r2': 0.8977355843267513, 'mae': np.float64(13.002273620863981), 'z_threshold': 1.5, 'mse_peak': np.float64(1953.0188478949854), 'rmse_peak': np.float64(44.19297283386789), 'r2_peak': 0.48343840332197663, 'mae_peak': np.float64(33.65475720748885)}
