{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(393.255710186751), 'rmse': np.float64(19.83067598915254), 'r2': 0.9028415155813766, 'mae': np.float64(14.080379555225443), 'z_threshold': 1.5, 'mse_peak': np.float64(1243.3041363119016), 'rmse_peak': np.float64(35.26051809477424), 'r2_peak': 0.6737836857789266, 'mae_peak': np.float64(28.065138542642206)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(367.88323512206483), 'rmse': np.float64(19.18028245678527), 'r2': 0.9091100862832835, 'mae': np.float64(12.356259515298488), 'z_threshold': 1.5, 'mse_peak': np.float64(1646.2086474740872), 'rmse_peak': np.float64(40.57349686031618), 'r2_peak': 0.5680701915696551, 'mae_peak': np.float64(32.79284049075918)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 3, 'mse': np.float64(401.58926986167796), 'rmse': np.float64(20.039692359456968), 'r2': 0.9007826108869131, 'mae': np.float64(13.350110011645125), 'z_threshold': 1.5, 'mse_peak': np.float64(1899.0627642350305), 'rmse_peak': np.float64(43.57823727774026), 'r2_peak': 0.501726699582199, 'mae_peak': np.float64(36.2023388165725)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(379.24345176325755), 'rmse': np.float64(19.474173968701663), 'r2': 0.9063034101106695, 'mae': np.float64(14.026493056780776), 'z_threshold': 1.5, 'mse_peak': np.float64(1808.762147515974), 'rmse_peak': np.float64(42.52954440757594), 'r2_peak': 0.5254196428433404, 'mae_peak': np.float64(33.83189573011805)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(340.4167793683783), 'rmse': np.float64(18.450386970694634), 'r2': 0.9158959997341323, 'mae': np.float64(11.697643836209036), 'z_threshold': 1.5, 'mse_peak': np.float64(1477.437955423482), 'rmse_peak': np.float64(38.437455111173556), 'r2_peak': 0.6123519980089098, 'mae_peak': np.float64(29.874470531288765)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(295.4611741410266), 'rmse': np.float64(17.188984092756225), 'r2': 0.9270028148594287, 'mae': np.float64(11.091964100783468), 'z_threshold': 1.5, 'mse_peak': np.float64(1418.4164429844543), 'rmse_peak': np.float64(37.66186988167813), 'r2_peak': 0.6278379758041148, 'mae_peak': np.float64(31.798256534661487)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(417.9289833709129), 'rmse': np.float64(20.44331145805182), 'r2': 0.8967456909916169, 'mae': np.float64(14.940370611722999), 'z_threshold': 1.5, 'mse_peak': np.float64(1420.8195312706187), 'rmse_peak': np.float64(37.69375984523988), 'r2_peak': 0.6272074570271198, 'mae_peak': np.float64(30.452912853521198)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(322.6652746320063), 'rmse': np.float64(17.962886032929294), 'r2': 0.9202817193859, 'mae': np.float64(11.849399892588245), 'z_threshold': 1.5, 'mse_peak': np.float64(1281.9672486661736), 'rmse_peak': np.float64(35.80457022038072), 'r2_peak': 0.6636393151135644, 'mae_peak': np.float64(29.774088311076206)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(347.86926215078506), 'rmse': np.float64(18.65125363483069), 'r2': 0.9144082498834543, 'mae': np.float64(12.416482586661711), 'z_threshold': 1.5, 'mse_peak': np.float64(1403.749541934184), 'rmse_peak': np.float64(37.466645725687584), 'r2_peak': 0.6312039444222829, 'mae_peak': np.float64(31.60687029399329)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(493.81649967992996), 'rmse': np.float64(22.221982352614944), 'r2': 0.8784985537879709, 'mae': np.float64(14.30249328662582), 'z_threshold': 1.5, 'mse_peak': np.float64(2232.7422279303128), 'rmse_peak': np.float64(47.251901844585184), 'r2_peak': 0.41340922850957507, 'mae_peak': np.float64(37.55487610110815)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(386.08893264386893), 'rmse': np.float64(19.649145850236568), 'r2': 0.9050044627648246, 'mae': np.float64(13.337880405572024), 'z_threshold': 1.5, 'mse_peak': np.float64(1795.4708885291132), 'rmse_peak': np.float64(42.372997162451384), 'r2_peak': 0.5282900818034946, 'mae_peak': np.float64(33.26895744964328)}
