{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(351.33319055199007), 'rmse': np.float64(18.743884083934955), 'r2': 0.9131989709601913}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(451.6974456580144), 'rmse': np.float64(21.253174954768863), 'r2': 0.8884027921296928}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(330.0094869192477), 'rmse': np.float64(18.16616324156666), 'r2': 0.9184672446901908}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(389.31137661370747), 'rmse': np.float64(19.730975054814383), 'r2': 0.9038160099423521}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(336.9039142093159), 'rmse': np.float64(18.35494250084472), 'r2': 0.9167638947092857}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(257.2868566573078), 'rmse': np.float64(16.040163860051674), 'r2': 0.9364342324697977}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(390.702419913321), 'rmse': np.float64(19.766193865115284), 'r2': 0.9034723362072983}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(287.72058875241015), 'rmse': np.float64(16.962328517995697), 'r2': 0.9289152182279997}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(399.1256185722693), 'rmse': np.float64(19.978128505249668), 'r2': 0.9013912851393513}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(375.1358226756229), 'rmse': np.float64(19.36842333995266), 'r2': 0.9073182485640487}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(345.3545942738304), 'rmse': np.float64(18.583718526544423), 'r2': 0.9146760540343595}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(491.54543895312673), 'rmse': np.float64(22.170824047678668), 'r2': 0.8790573386056527}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(338.9373235813593), 'rmse': np.float64(18.41025050294969), 'r2': 0.9166059153206473}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(369.0571910122534), 'rmse': np.float64(19.210861277211215), 'r2': 0.9088200465658414}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(412.4021534568766), 'rmse': np.float64(20.307687053351906), 'r2': 0.8985302068714935}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(315.03638107806273), 'rmse': np.float64(17.749264240471003), 'r2': 0.9221665279628439}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(460.3967513579144), 'rmse': np.float64(21.456857909720014), 'r2': 0.886253525544612}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(323.2811890416261), 'rmse': np.float64(17.980021942189783), 'r2': 0.9201295504306372}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(399.57219530975516), 'rmse': np.float64(19.98930202157532), 'r2': 0.9016869634211946}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(358.2815327103822), 'rmse': np.float64(18.92832619938652), 'r2': 0.9114823006720197}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(274.95835821175103), 'rmse': np.float64(16.581868357086634), 'r2': 0.9320682785523944}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(368.7932213298661), 'rmse': np.float64(19.203989724269956), 'r2': 0.9092599988582504}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(344.96026845972847), 'rmse': np.float64(18.57310605310077), 'r2': 0.9151239953895565}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(303.99386247606554), 'rmse': np.float64(17.435419767704634), 'r2': 0.9248947130692344}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(427.2483413977025), 'rmse': np.float64(20.66998648760329), 'r2': 0.8948773655696839}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(324.1972122777368), 'rmse': np.float64(18.005477285474463), 'r2': 0.9202326569177329}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(480.07685576412223), 'rmse': np.float64(21.910656214822097), 'r2': 0.8818791346460244}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(383.44881771540304), 'rmse': np.float64(19.581849190395758), 'r2': 0.9052644246064486}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(466.2859020255142), 'rmse': np.float64(21.593654207324757), 'r2': 0.885272340067411}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(326.14616773658855), 'rmse': np.float64(18.059517372748047), 'r2': 0.9194217234857671}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(293.0710325991469), 'rmse': np.float64(17.119317527259867), 'r2': 0.9278911208379449}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(374.8876072776517), 'rmse': np.float64(19.362014545951865), 'r2': 0.9073795731201875}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(336.70778791934686), 'rmse': np.float64(18.349599121488918), 'r2': 0.9171544830730237}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(303.6810383699357), 'rmse': np.float64(17.426446521592855), 'r2': 0.9252805741140011}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(378.31895622858065), 'rmse': np.float64(19.450423034694662), 'r2': 0.9069162323636589}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(493.46003620214276), 'rmse': np.float64(22.213960389857156), 'r2': 0.8785862601082356}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(395.3913838002063), 'rmse': np.float64(19.884450804591168), 'r2': 0.9027156342839124}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(415.8715390044708), 'rmse': np.float64(20.392928651973232), 'r2': 0.8972540070090098}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(524.7859097568163), 'rmse': np.float64(22.908206166280596), 'r2': 0.8703454207645005}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(346.00223052570374), 'rmse': np.float64(18.601135194544007), 'r2': 0.9148676250617198}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(358.32128863280644), 'rmse': np.float64(18.929376340302564), 'r2': 0.9118365732905597}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(484.5515858387658), 'rmse': np.float64(22.0125324721797), 'r2': 0.8802857873815024}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(372.5809306939444), 'rmse': np.float64(19.302355573710283), 'r2': 0.907949464910978}
