{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(316.19884745805444), 'rmse': np.float64(17.78198097676562), 'r2': 0.9218793268650799}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(466.37227529468873), 'rmse': np.float64(21.59565408351154), 'r2': 0.8847772015287992}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(357.6638191987007), 'rmse': np.float64(18.91200198812121), 'r2': 0.9116349141167714}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(478.18949535427316), 'rmse': np.float64(21.867544337539897), 'r2': 0.8818576172448601}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(511.39812019090976), 'rmse': np.float64(22.614113296587814), 'r2': 0.8736530328607655}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(374.47736631098013), 'rmse': np.float64(19.35141768220045), 'r2': 0.9074809280135451}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(556.3649758676684), 'rmse': np.float64(23.587390187718274), 'r2': 0.8625434381785926}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(332.9296150334286), 'rmse': np.float64(18.246358952772702), 'r2': 0.9177457924276228}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(341.8926644929696), 'rmse': np.float64(18.490339761425954), 'r2': 0.9155313648205967}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(304.9160700793955), 'rmse': np.float64(17.46184612460537), 'r2': 0.9246668707500056}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(438.52108047863555), 'rmse': np.float64(20.94089493022291), 'r2': 0.8916581693252758}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(314.0130789682266), 'rmse': np.float64(17.72041418726511), 'r2': 0.9224193468781671}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(390.9621642657119), 'rmse': np.float64(19.77276319247545), 'r2': 0.9034081632863187}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(375.31532544852405), 'rmse': np.float64(19.373056688311323), 'r2': 0.9072739002763767}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(342.50010026341147), 'rmse': np.float64(18.506758232154315), 'r2': 0.9153812906136393}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(354.0022168653278), 'rmse': np.float64(18.814946634665958), 'r2': 0.9125395563738038}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(371.5444669358556), 'rmse': np.float64(19.275488759973264), 'r2': 0.9082055355675056}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(281.57244470520885), 'rmse': np.float64(16.780120521176503), 'r2': 0.9304341900881408}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(342.9309979039806), 'rmse': np.float64(18.51839620226278), 'r2': 0.915274832244154}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(501.33592954438984), 'rmse': np.float64(22.390532140714964), 'r2': 0.8761390163260351}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(309.1233985843278), 'rmse': np.float64(17.581905430991483), 'r2': 0.9236274003738569}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(270.9501933172773), 'rmse': np.float64(16.460564793386567), 'r2': 0.9330585431979149}
