{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(288.299271269799), 'rmse': np.float64(16.97937782340092), 'r2': 0.9287722478530182, 'mae': np.float64(11.021678498639256), 'z_threshold': 1.5, 'mse_peak': np.float64(1157.1124734282928), 'rmse_peak': np.float64(34.01635596927297), 'r2_peak': 0.6963985277643172, 'mae_peak': np.float64(27.866970831703423)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(353.37130123540175), 'rmse': np.float64(18.798172816404303), 'r2': 0.9126954315583511, 'mae': np.float64(12.215888149175544), 'z_threshold': 1.5, 'mse_peak': np.float64(1907.893202164716), 'rmse_peak': np.float64(43.679436834335625), 'r2_peak': 0.4994097822405378, 'mae_peak': np.float64(36.01505754257623)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(495.33178660037584), 'rmse': np.float64(22.25605056159731), 'r2': 0.8776224110068043, 'mae': np.float64(15.044273058500883), 'z_threshold': 1.5, 'mse_peak': np.float64(1546.8000053472401), 'rmse_peak': np.float64(39.32937840021426), 'r2_peak': 0.5941528851674882, 'mae_peak': np.float64(31.516069272869043)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(323.8086523465958), 'rmse': np.float64(17.99468400241015), 'r2': 0.9199992343691794, 'mae': np.float64(12.485795226168554), 'z_threshold': 1.5, 'mse_peak': np.float64(1194.2921427622757), 'rmse_peak': np.float64(34.558532126846416), 'r2_peak': 0.6866433807010507, 'mae_peak': np.float64(27.653635493860786)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(362.5032028287945), 'rmse': np.float64(19.039516874878796), 'r2': 0.9104392870302711, 'mae': np.float64(12.616372639126528), 'z_threshold': 1.5, 'mse_peak': np.float64(1610.9755153737597), 'rmse_peak': np.float64(40.13695946847194), 'r2_peak': 0.5773146090509058, 'mae_peak': np.float64(32.167871409606775)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(311.0052078340015), 'rmse': np.float64(17.635339742517054), 'r2': 0.9231624770938455, 'mae': np.float64(11.985805131410244), 'z_threshold': 1.5, 'mse_peak': np.float64(1328.9854152536868), 'rmse_peak': np.float64(36.45525223138206), 'r2_peak': 0.6513027575829916, 'mae_peak': np.float64(29.274727046594705)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(381.27291745718253), 'rmse': np.float64(19.52621103689045), 'r2': 0.9061894227864941, 'mae': np.float64(13.45852995862579), 'z_threshold': 1.5, 'mse_peak': np.float64(1638.6630369912884), 'rmse_peak': np.float64(40.480403122885136), 'r2_peak': 0.5694869729890002, 'mae_peak': np.float64(32.37161318300419)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(367.8374252104328), 'rmse': np.float64(19.17908822677535), 'r2': 0.909121404164932, 'mae': np.float64(12.150445050008038), 'z_threshold': 1.5, 'mse_peak': np.float64(1617.1999568614824), 'rmse_peak': np.float64(40.21442473617498), 'r2_peak': 0.5756814492303064, 'mae_peak': np.float64(32.04120704009841)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(312.79340433267686), 'rmse': np.float64(17.685966310402065), 'r2': 0.9227206819535498, 'mae': np.float64(11.203292510468067), 'z_threshold': 1.5, 'mse_peak': np.float64(1500.7855822871861), 'rmse_peak': np.float64(38.73997395826675), 'r2_peak': 0.6062260819447363, 'mae_peak': np.float64(31.201034529031514)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(419.76896282724493), 'rmse': np.float64(20.488264026687204), 'r2': 0.8967176348066714, 'mae': np.float64(14.041839799079968), 'z_threshold': 1.5, 'mse_peak': np.float64(1848.3945339622153), 'rmse_peak': np.float64(42.99295912079344), 'r2_peak': 0.5143858694782472, 'mae_peak': np.float64(35.68089053068349)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(454.06354224157786), 'rmse': np.float64(21.308766793073172), 'r2': 0.8882795996280666, 'mae': np.float64(14.092781755977606), 'z_threshold': 1.5, 'mse_peak': np.float64(1933.9053522748559), 'rmse_peak': np.float64(43.976190743115254), 'r2_peak': 0.49192028600993687, 'mae_peak': np.float64(35.50873884365082)}
