{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(340.56395317040324), 'rmse': np.float64(18.454374905978344), 'r2': 0.9158596387019069, 'mae': np.float64(13.169894164073192), 'z_threshold': 1.5, 'mse_peak': np.float64(1465.7833508794245), 'rmse_peak': np.float64(38.28555015772171), 'r2_peak': 0.615409916041214, 'mae_peak': np.float64(31.550225725102884)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(394.63250702847665), 'rmse': np.float64(19.865359473930408), 'r2': 0.9025013616026057, 'mae': np.float64(13.149870037865984), 'z_threshold': 1.5, 'mse_peak': np.float64(2040.5537094449799), 'rmse_peak': np.float64(45.1724884132475), 'r2_peak': 0.4646025130746536, 'mae_peak': np.float64(36.45014045595963)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(422.4745885312297), 'rmse': np.float64(20.55418664241496), 'r2': 0.895622645358199, 'mae': np.float64(13.960747649047269), 'z_threshold': 1.5, 'mse_peak': np.float64(1857.1239769434856), 'rmse_peak': np.float64(43.094361312629815), 'r2_peak': 0.5127305370291912, 'mae_peak': np.float64(35.23453147247146)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(345.2131034520958), 'rmse': np.float64(18.579911287519536), 'r2': 0.9147110110189443, 'mae': np.float64(12.16152784311693), 'z_threshold': 1.5, 'mse_peak': np.float64(1274.449396181286), 'rmse_peak': np.float64(35.69943131453617), 'r2_peak': 0.665611838212983, 'mae_peak': np.float64(28.666367494227583)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(269.83403846511686), 'rmse': np.float64(16.42662590019986), 'r2': 0.9333343024838028, 'mae': np.float64(11.323354891283753), 'z_threshold': 1.5, 'mse_peak': np.float64(927.4036527511784), 'rmse_peak': np.float64(30.4533028217167), 'r2_peak': 0.7566691909406192, 'mae_peak': np.float64(24.381074574775667)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(321.926065219249), 'rmse': np.float64(17.942298214533416), 'r2': 0.9204643498330901, 'mae': np.float64(11.447374491711207), 'z_threshold': 1.5, 'mse_peak': np.float64(1523.222366790385), 'rmse_peak': np.float64(39.02848148199447), 'r2_peak': 0.600339151362073, 'mae_peak': np.float64(31.264959184682777)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(372.9500072344395), 'rmse': np.float64(19.311913608817733), 'r2': 0.9078582801770247, 'mae': np.float64(12.905705818316648), 'z_threshold': 1.5, 'mse_peak': np.float64(1507.5978106123432), 'rmse_peak': np.float64(38.82779688074438), 'r2_peak': 0.6044386994765517, 'mae_peak': np.float64(32.09675662699672)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(342.69641506571435), 'rmse': np.float64(18.51206134026447), 'r2': 0.9153327887148324, 'mae': np.float64(12.187356518462254), 'z_threshold': 1.5, 'mse_peak': np.float64(1550.1853047619659), 'rmse_peak': np.float64(39.37239267255631), 'r2_peak': 0.5932646552763832, 'mae_peak': np.float64(32.007951647201835)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(459.61618605030196), 'rmse': np.float64(21.438661013465882), 'r2': 0.8869133952717976, 'mae': np.float64(14.404111637531786), 'z_threshold': 1.5, 'mse_peak': np.float64(1889.008840092724), 'rmse_peak': np.float64(43.462729321715685), 'r2_peak': 0.5037155928701285, 'mae_peak': np.float64(34.58333204188831)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(382.3824475457676), 'rmse': np.float64(19.554601697446245), 'r2': 0.9055278839964263, 'mae': np.float64(12.799666820811092), 'z_threshold': 1.5, 'mse_peak': np.float64(1540.4216935023323), 'rmse_peak': np.float64(39.24820624566596), 'r2_peak': 0.5958264172665373, 'mae_peak': np.float64(31.567809599536357)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(384.21665485334455), 'rmse': np.float64(19.601445223588605), 'r2': 0.9054651287397502, 'mae': np.float64(12.360984858699249), 'z_threshold': 1.5, 'mse_peak': np.float64(2072.5541064348236), 'rmse_peak': np.float64(45.52531280985144), 'r2_peak': 0.4554941913844627, 'mae_peak': np.float64(35.6050688957352)}
