{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(379.269929108427), 'rmse': np.float64(19.474853763467056), 'r2': 0.9062968685687124, 'mae': np.float64(13.502598033868146), 'z_threshold': 1.5, 'mse_peak': np.float64(1942.8875197564978), 'rmse_peak': np.float64(44.07819778253754), 'r2_peak': 0.49022802455948, 'mae_peak': np.float64(35.4361090129492)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(338.65777702294946), 'rmse': np.float64(18.402656792510953), 'r2': 0.9163305821128331, 'mae': np.float64(11.93281695005556), 'z_threshold': 1.5, 'mse_peak': np.float64(1587.9484178425757), 'rmse_peak': np.float64(39.84907047651897), 'r2_peak': 0.5833564250993224, 'mae_peak': np.float64(32.52857559943839)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(469.29162012371177), 'rmse': np.float64(21.663139664501813), 'r2': 0.8845327959329533, 'mae': np.float64(14.840622211437866), 'z_threshold': 1.5, 'mse_peak': np.float64(1849.8637021249344), 'rmse_peak': np.float64(43.0100418754148), 'r2_peak': 0.5139998865039306, 'mae_peak': np.float64(34.94209944852231)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(413.4850075329888), 'rmse': np.float64(20.334330761866465), 'r2': 0.8978436278963363, 'mae': np.float64(14.004810198094106), 'z_threshold': 1.5, 'mse_peak': np.float64(1840.166392663632), 'rmse_peak': np.float64(42.89716065969439), 'r2_peak': 0.5171798431002517, 'mae_peak': np.float64(35.013811876593536)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(364.7997873148563), 'rmse': np.float64(19.099732650350273), 'r2': 0.9102425662866179, 'mae': np.float64(12.019963461477928), 'z_threshold': 1.5, 'mse_peak': np.float64(2007.9652587488627), 'rmse_peak': np.float64(44.81032535865883), 'r2_peak': 0.4724631103755751, 'mae_peak': np.float64(36.470729329602065)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(400.4614929378676), 'rmse': np.float64(20.011533997619164), 'r2': 0.9010612415433572, 'mae': np.float64(14.288357015701655), 'z_threshold': 1.5, 'mse_peak': np.float64(1729.2167546948294), 'rmse_peak': np.float64(41.583852090623225), 'r2_peak': 0.5462906462458992, 'mae_peak': np.float64(34.00843309867386)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(279.019281046785), 'rmse': np.float64(16.703870241557343), 'r2': 0.9310649794323245, 'mae': np.float64(10.457721724380962), 'z_threshold': 1.5, 'mse_peak': np.float64(1557.4887672652633), 'rmse_peak': np.float64(39.465032209099526), 'r2_peak': 0.5913483835056281, 'mae_peak': np.float64(31.644465405727306)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(284.178137093724), 'rmse': np.float64(16.85758396371568), 'r2': 0.9297904228985707, 'mae': np.float64(11.140558313852226), 'z_threshold': 1.5, 'mse_peak': np.float64(1484.6585377940974), 'rmse_peak': np.float64(38.53126701516701), 'r2_peak': 0.6104574722057068, 'mae_peak': np.float64(31.9914787758299)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(457.934661455216), 'rmse': np.float64(21.39940796973636), 'r2': 0.8873271272355462, 'mae': np.float64(15.467531058867667), 'z_threshold': 1.5, 'mse_peak': np.float64(1916.1986107112741), 'rmse_peak': np.float64(43.77440588644549), 'r2_peak': 0.4965722386914567, 'mae_peak': np.float64(35.43840959321023)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(425.6568271211358), 'rmse': np.float64(20.631452375466342), 'r2': 0.8952689508779822, 'mae': np.float64(14.67264218654607), 'z_threshold': 1.5, 'mse_peak': np.float64(1604.7242009457127), 'rmse_peak': np.float64(40.059008986065955), 'r2_peak': 0.578403455944543, 'mae_peak': np.float64(32.43377769536685)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(430.5036003106359), 'rmse': np.float64(20.748580681835467), 'r2': 0.8954258047352784, 'mae': np.float64(13.992325786521038), 'z_threshold': 1.5, 'mse_peak': np.float64(1835.5190676839911), 'rmse_peak': np.float64(42.84295820416689), 'r2_peak': 0.514516379932662, 'mae_peak': np.float64(35.82899816973486)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(378.5344566994944), 'rmse': np.float64(19.4559619833997), 'r2': 0.9064785757448133, 'mae': np.float64(12.450785188325229), 'z_threshold': 1.5, 'mse_peak': np.float64(1718.3424639747911), 'rmse_peak': np.float64(41.45289451865565), 'r2_peak': 0.5491438266824915, 'mae_peak': np.float64(33.42315006483059)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(426.414837908272), 'rmse': np.float64(20.64981447636448), 'r2': 0.8946491600462552, 'mae': np.float64(13.53283284458725), 'z_threshold': 1.5, 'mse_peak': np.float64(2222.6036748211395), 'rmse_peak': np.float64(47.14449782128493), 'r2_peak': 0.4168365103930808, 'mae_peak': np.float64(37.27653949886212)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(321.9708113123583), 'rmse': np.float64(17.94354511551043), 'r2': 0.9207804533913555, 'mae': np.float64(11.27360237318642), 'z_threshold': 1.5, 'mse_peak': np.float64(1673.1499224873698), 'rmse_peak': np.float64(40.904155320546224), 'r2_peak': 0.5604265053199667, 'mae_peak': np.float64(33.88898478625414)}
